stock_code,product_role,evidence_description,evidence_rows_before_cutoff,decision_reason
15002,unresolved,,0,No descriptive positive-purchase evidence before cutoff
15030,merchandise,FAN BLACK FRAME,26,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15034,merchandise,PAPER POCKET TRAVELING FAN,262,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15036,merchandise,ASSORTED COLOURS SILK FAN,993,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15039,merchandise,SANDALWOOD FAN,307,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15044A,merchandise,PINK PAPER PARASOL,248,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15044B,merchandise,BLUE PAPER PARASOL,192,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15044C,merchandise,PURPLE PAPER PARASOL,235,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15044D,merchandise,RED PAPER PARASOL,230,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15056BL,merchandise,EDWARDIAN PARASOL BLACK,993,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15056N,merchandise,EDWARDIAN PARASOL NATURAL,1167,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15056P,merchandise,EDWARDIAN PARASOL PINK,388,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15058A,merchandise,BLUE POLKADOT GARDEN PARASOL,89,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15058B,merchandise,PINK POLKADOT GARDEN PARASOL,100,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15058C,merchandise,ICE CREAM DESIGN GARDEN PARASOL,121,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15059A,merchandise,ENGLISH ROSE EDWARDIAN PARASOL,4,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
15060A,unresolved,,0,No descriptive positive-purchase evidence before cutoff
15060B,merchandise,FAIRY CAKE DESIGN UMBRELLA,467,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16008,merchandise,SMALL FOLDING SCISSOR(POINTED EDGE),82,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16010,merchandise,FOLDING CAMPING SCISSOR W/KNIF & S,5,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16011,merchandise,ANIMAL STICKERS,115,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16012,merchandise,FOOD/DRINK SPONGE STICKERS,65,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16014,merchandise,SMALL CHINESE STYLE SCISSOR,95,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16015,merchandise,MEDIUM CHINESE STYLE SCISSOR,66,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16016,merchandise,LARGE CHINESE STYLE SCISSOR,105,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16020C,merchandise,CLEAR STATIONERY BOX SET,40,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16033,merchandise,MINI HIGHLIGHTER PENS,50,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16043,merchandise,POP ART PUSH DOWN RUBBER,13,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16044,merchandise,POP-ART FLUORESCENT PENS,3,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16045,merchandise,POPART WOODEN PENCILS ASST,73,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16046,merchandise,TEATIME PEN CASE & PENS,66,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16047,merchandise,POP ART PEN CASE & PENS,32,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16048,merchandise,TEATIME ROUND PENCIL SHARPENER,105,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16049,merchandise,TEATIME GEL PENS ASST,32,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16050,merchandise,TEATIME PENCIL WITH RUBBER,8,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16051,merchandise,TEATIME PENCIL W STAMP ASST,4,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16052,merchandise,TEATIME PUSH DOWN RUBBER,36,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16053,merchandise,POPART COL BALLPOINT PEN ASST,10,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16054,merchandise,POPART RECT PENCIL SHARPENER ASST,38,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16065A,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16119,merchandise,FUNKY GIRL ADDRESS BOOK,8,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16131,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16132,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16151A,merchandise,FLOWERS HANDBAG blue and orange,3,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16155H,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16156A,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16156L,merchandise,"WRAP, CAROUSEL",22,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16156N,merchandise,"WRAP, FRIENDSHIP ON GREEN",56,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16156S,merchandise,WRAP PINK FAIRY CAKES,419,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16161C,merchandise,WRAP SPEED DEMONS,2,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16161E,merchandise,WRAP BOUDOIR,9,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16161G,merchandise,WRAP BAD HAIR DAY,33,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16161M,merchandise,WRAP  PINK FLOCK,40,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16161N,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16161P,merchandise,WRAP ENGLISH ROSE,438,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16161U,merchandise,WRAP SUKI AND FRIENDS,208,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16162L,merchandise,THE KING GIFT BAG,30,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16162M,merchandise,THE KING GIFT BAG 25x24x12cm,13,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16168M,merchandise,FUNKY MONKEY GIFT BAG MEDIUM,100,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16168S,merchandise,FUNKY MONKEY GIFT BAG SMALL,11,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169A,merchandise,WRAP CHRISTMAS DECOUPAGE,1,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169C,merchandise,WRAP BLUE REINDEER,43,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169D,merchandise,WRAP WINTER FOREST,9,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169E,merchandise,WRAP 50'S  CHRISTMAS,137,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169F,merchandise,WRAP BLIZZARD,34,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169G,merchandise,WRAP ROMANTIC DECOUPAGE,1,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169H,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16169K,merchandise,WRAP FOLK ART,61,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169M,merchandise,WRAP DAISY CARPET,59,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169N,merchandise,WRAP BLUE RUSSIAN FOLKART,57,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16169P,merchandise,WRAP GREEN RUSSIAN FOLKART,48,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16192,merchandise,PINK BALLET OPENING CUBE BOX,1,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16195,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16200A,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16201A,merchandise,PASTEL PINK PHOTO ALBUM,9,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16201B,merchandise,PASTEL BLUE PHOTO ALBUM,5,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16201C,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16202A,merchandise,PASTEL PINK PHOTO ALBUM,22,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16202B,merchandise,PASTEL BLUE PHOTO ALBUM,22,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16202C,merchandise,BEIGE PHOTO ALBUM,12,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16202E,merchandise,BLACK PHOTO ALBUM,14,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16206B,merchandise,RED PURSE WITH PINK HEART,16,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16207A,merchandise,PINK STRAWBERRY HANDBAG,76,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16207B,merchandise,PINK HEART RED HANDBAG,46,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16210,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16212,merchandise,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,44,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16215,merchandise,FUNKY GIRLZ MAGNETIC TO DO LIST,3,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16216,merchandise,LETTER SHAPE PENCIL SHARPENER,86,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16218,merchandise,CARTOON  PENCIL SHARPENERS,96,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16219,merchandise,HOUSE SHAPE PENCIL SHARPENER,124,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16222B,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16225,merchandise,RATTLE SNAKE EGGS,158,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16235,merchandise,RECYCLED PENCIL WITH RABBIT ERASER,316,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16236,merchandise,KITTY PENCIL ERASERS,261,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16237,merchandise,SLEEPING CAT ERASERS,589,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16238,merchandise,PARTY TIME PENCIL ERASERS,235,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16239,merchandise,BALLERINA HEART DECORATION.,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16240,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16243A,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16243B,merchandise,BROWN COZY SQUARE PHOTO ALBUM,8,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16244A,merchandise,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,28,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16244B,merchandise,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,29,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16245A,merchandise,PINK MINI STATIONERY SET W CASE,7,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16245B,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16248A,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16248B,merchandise,BLUE HOLE PUNCH,13,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16249B,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16254,merchandise,TRANSPARENT ACRYLIC TAPE DISPENSER,41,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16255,unresolved,,0,No descriptive positive-purchase evidence before cutoff
16256B,merchandise,FLOWER PENCIL/RUBBER+5 MINI PENCILS,36,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16256C,merchandise,HEARTS PENCIL/RUBBER+5 MINI PENCILS,10,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16258A,merchandise,SWIRLY CIRCULAR RUBBERS IN BAG,99,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16258B,merchandise,DAISY ERASERS IN BAG,17,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
16259,merchandise,PIECE OF CAMO STATIONERY SET,55,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17001,merchandise,HEAVENS SCENT FRAGRANCE OILS ASSTD,23,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17003,merchandise,BROCADE RING PURSE,461,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17007B,merchandise,S/3 POT POURI CUSHIONS BLUE COLOURS,8,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17010S,unresolved,,0,No descriptive positive-purchase evidence before cutoff
17011A,merchandise,ORIGAMI VANILLA INCENSE+FLOWER,12,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17011B,merchandise,ORIGAMI JASMINE INCENSE+FLOWER,2,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17011C,merchandise,ORIGAMI LAVENDER INCENSE+FLOWER,2,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17011D,merchandise,ORIGAMI ROSE INCENSE+FLOWER,4,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17011E,merchandise,ORIGAMI OPIUM SCENT INCENSE+FLOWER,1,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17011F,merchandise,ORIGAMI SANDLEWOOD INCENSE+FLOWER,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17012A,merchandise,ORIGAMI VANILLA INCENSE/CANDLE SET,98,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17012B,merchandise,ORIGAMI JASMINE INCENSE/CANDLE SET,131,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17012C,merchandise,ORIGAMI LAVENDER INCENSE/CANDL SET,109,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17012D,merchandise,ORIGAMI ROSE INCENSE/CANDLE SET,106,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17012E,merchandise,ORIGAMI OPIUM INCENSE/CANDLE SET,35,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17012F,merchandise,ORIGAMI SANDLEWOOD INCENSE/CAND SET,100,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17013A,unresolved,,0,No descriptive positive-purchase evidence before cutoff
17013B,merchandise,ORIGAMI JASMINE INCENSE IN TUBE,3,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17013C,merchandise,ORIGAMI LAVENDER INCENSE IN TUBE,2,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17013D,merchandise,ORIGAMI ROSE INCENSE IN TUBE,32,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17013E,unresolved,,0,No descriptive positive-purchase evidence before cutoff
17013F,merchandise,ORIGAMI SANDLEWOOD INCENSE IN TUBE,5,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17014A,merchandise,ORIGAMI VANILLA INCENSE CONES,17,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17014B,unresolved,,0,No descriptive positive-purchase evidence before cutoff
17014C,merchandise,ORIGAMI LAVENDER INCENSE CONES,2,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17014D,merchandise,ORIGAMI ROSE INCENSE CONES,9,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17014E,merchandise,ORIGAMI OPIUM INCENSE CONES,6,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17014F,merchandise,ORIGAMI SANDLEWOOD INCENSE CONES,4,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17017,unresolved,,0,No descriptive positive-purchase evidence before cutoff
17021,merchandise,NAMASTE SWAGAT INCENSE,101,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17027A,merchandise,INCENSE BAZAAR CANNABIS,2,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17028J,merchandise,INCENSE BAZAAR PEACH,1,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17033,merchandise,"BROCADE PURSE,SMALL ARCH BUTTON",69,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17038,merchandise,PORCELAIN BUDAH INCENSE HOLDER,54,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17039,merchandise,INLAID WOOD INCENSE HOLDER,43,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17061,merchandise,ASSORTED SHAPED STENCIL FOR HENNA,1,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17084A,merchandise,TRANQUILITY MASALA INCENSE,18,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17084F,unresolved,,0,No descriptive positive-purchase evidence before cutoff
17084G,merchandise,MOON INCENSE,2,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17084J,merchandise,LOVE POTION MASALA INCENSE,21,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17084N,merchandise,FAIRY DREAMS INCENSE,186,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17084P,merchandise,DRAGONS BLOOD INCENSE,71,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17084R,merchandise,ASSORTED INCENSE PACK,67,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17090A,merchandise,LAVENDER INCENSE 40 CONES IN TIN,28,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17090D,merchandise,VANILLA INCENSE 40 CONES IN TIN,32,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17091A,merchandise,LAVENDER INCENSE IN TIN,121,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17091B,merchandise,JASMINE TEA INCENSE IN TIN,53,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17091F,merchandise,SANDALWOOD INCENSE IN TIN,8,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17091J,merchandise,VANILLA INCENSE IN TIN,180,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17096,merchandise,ASSORTED LAQUERED INCENSE HOLDERS,79,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17107D,merchandise,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",72,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17108D,merchandise,FLOWER FAIRY SUMMER BOUQUET SACHET,23,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17109A,merchandise,FLOWER FAIRY INCENSE LILY,13,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17109B,merchandise,FLOWER FAIRY INCENSE LAVENDER,17,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17109C,merchandise,FLOWER FAIRY INCENSE ROSE,15,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17109D,merchandise,FLOWER FAIRY INCENSE BOUQUET,41,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17120,unresolved,,0,No descriptive positive-purchase evidence before cutoff
17129C,merchandise,SKY BLUE COLOUR GLASS GEMS IN BAG,12,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17129D,merchandise,CLEAR COLOUR GLASS GEMS IN BAG,39,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17129F,merchandise,BLUE GLASS GEMS IN BAG,83,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17136A,merchandise,BLUE STONES ON WIRE FOR CANDLE,37,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17160,unresolved,,0,No descriptive positive-purchase evidence before cutoff
17164B,merchandise,ASS COL SMALL SAND GECKO P'WEIGHT,92,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17164D,merchandise,ASS COL SMALL SAND FROG P'WEIGHT,34,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17165B,merchandise,ASS COL LARGE SAND GECKO P'WEIGHT,64,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17165D,merchandise,ASS COL LARGE SAND FROG P'WEIGHT,98,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17174,merchandise,ASSTD RASTA KEY-CHAINS,7,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17178,merchandise,FLAT PALM T-LIGHT HOLDER,25,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17181,merchandise,CIRCLE OF FRIENDS CANDLE HOLDER,68,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
17191A,merchandise,ROSE FLOWER CANDLE+INCENSE 16X16CM,11,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18007,merchandise,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,79,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18010,merchandise,ASSORTED FRAGRANCE BATH CONFETTI,9,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18033,unresolved,,0,No descriptive positive-purchase evidence before cutoff
18094A,unresolved,,0,No descriptive positive-purchase evidence before cutoff
18094C,merchandise,WHITE AND BLUE CERAMIC OIL BURNER,87,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18096B,unresolved,,0,No descriptive positive-purchase evidence before cutoff
18096C,merchandise,WHITE ROUND PORCELAIN TLIGHT HOLDER,27,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18097A,merchandise,PINK TALL PORCELAIN T-LIGHT HOLDER,14,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18097B,merchandise,BLUE TALL PORCELAIN T-LIGHT HOLDER,4,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18097C,merchandise,WHITE TALL PORCELAIN T-LIGHT HOLDER,224,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18098A,merchandise,PINK PORCELAIN B'FLY OIL BURNER,2,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18098B,merchandise,BLUE PORCELAIN B'FLY OIL BURNER,3,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
18098C,merchandise,PORCELAIN BUTTERFLY OIL BURNER,403,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20615,merchandise,BLUE POLKADOT PASSPORT COVER,113,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20616,merchandise,CHERRY BLOSSOM PASSPORT COVER,123,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20617,merchandise,FIRST CLASS PASSPORT COVER,105,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20618,merchandise,QUEEN OF THE SKIES PASSPORT COVER,138,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20619,merchandise,TROPICAL PASSPORT COVER,193,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20620,merchandise,RED SPOTTY PASSPORT COVER,14,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20621,merchandise,ECONOMY PASSPORT COVER,34,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20622,merchandise,VIPPASSPORT COVER,118,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20652,merchandise,BLUE POLKADOT LUGGAGE TAG,95,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20653,merchandise,CHERRY BLOSSOM LUGGAGE TAG,82,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20654,merchandise,FIRST CLASS LUGGAGE TAG,119,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
20655,merchandise,QUEEN OF SKIES LUGGAGE TAG,197,Descriptive catalogue item on positive numeric invoice before cutoff; exception codes reviewed separately
