cohort_month,month_index,activity_month,cohort_size,is_primary_cohort,is_observable,retained_customers,retention_rate
2010-05-01,2,2010-07-01,255,True,True,43,0.16862745098039217
2010-05-01,3,2010-08-01,255,True,True,45,0.17647058823529413
2010-05-01,4,2010-09-01,255,True,True,45,0.17647058823529413
2010-05-01,5,2010-10-01,255,True,True,65,0.2549019607843137
2010-05-01,6,2010-11-01,255,True,True,54,0.21176470588235294
2010-05-01,7,2010-12-01,255,True,True,32,0.12549019607843137
2010-05-01,8,2011-01-01,255,True,True,15,0.058823529411764705
2010-05-01,9,2011-02-01,255,True,True,21,0.08235294117647059
2010-05-01,10,2011-03-01,255,True,True,29,0.11372549019607843
2010-05-01,11,2011-04-01,255,True,True,34,0.13333333333333333
2010-05-01,12,2011-05-01,255,True,True,39,0.15294117647058825
2010-05-01,13,2011-06-01,255,True,True,39,0.15294117647058825
2010-05-01,14,2011-07-01,255,True,True,25,0.09803921568627451
2010-05-01,15,2011-08-01,255,True,True,32,0.12549019607843137
2010-05-01,16,2011-09-01,255,True,True,35,0.13725490196078433
2010-05-01,17,2011-10-01,255,True,True,42,0.16470588235294117
2010-05-01,18,2011-11-01,255,True,True,39,0.15294117647058825
2010-05-01,19,2011-12-01,255,True,False,,
2010-05-01,20,2012-01-01,255,True,False,,
2010-05-01,21,2012-02-01,255,True,False,,
2010-05-01,22,2012-03-01,255,True,False,,
2010-05-01,23,2012-04-01,255,True,False,,
2010-06-01,0,2010-06-01,266,True,True,266,1.0
2010-06-01,1,2010-07-01,266,True,True,47,0.17669172932330826
2010-06-01,2,2010-08-01,266,True,True,50,0.18796992481203006
2010-06-01,3,2010-09-01,266,True,True,55,0.20676691729323307
2010-06-01,4,2010-10-01,266,True,True,62,0.23308270676691728
2010-06-01,5,2010-11-01,266,True,True,76,0.2857142857142857
2010-06-01,6,2010-12-01,266,True,True,34,0.12781954887218044
2010-06-01,7,2011-01-01,266,True,True,23,0.08646616541353383
2010-06-01,8,2011-02-01,266,True,True,22,0.08270676691729323
2010-06-01,9,2011-03-01,266,True,True,30,0.11278195488721804
2010-06-01,10,2011-04-01,266,True,True,28,0.10526315789473684
2010-06-01,11,2011-05-01,266,True,True,37,0.13909774436090225
2010-06-01,12,2011-06-01,266,True,True,40,0.15037593984962405
2010-06-01,13,2011-07-01,266,True,True,33,0.12406015037593984
2010-06-01,14,2011-08-01,266,True,True,29,0.10902255639097744
2010-06-01,15,2011-09-01,266,True,True,33,0.12406015037593984
2010-06-01,16,2011-10-01,266,True,True,34,0.12781954887218044
2010-06-01,17,2011-11-01,266,True,True,54,0.20300751879699247
2010-06-01,18,2011-12-01,266,True,False,,
2010-06-01,19,2012-01-01,266,True,False,,
2010-06-01,20,2012-02-01,266,True,False,,
2010-06-01,21,2012-03-01,266,True,False,,
2010-06-01,22,2012-04-01,266,True,False,,
2010-06-01,23,2012-05-01,266,True,False,,
2010-07-01,0,2010-07-01,184,True,True,184,1.0
2010-07-01,1,2010-08-01,184,True,True,29,0.15760869565217392
2010-07-01,2,2010-09-01,184,True,True,33,0.1793478260869565
2010-07-01,3,2010-10-01,184,True,True,54,0.29347826086956524
2010-07-01,4,2010-11-01,184,True,True,54,0.29347826086956524
2010-07-01,5,2010-12-01,184,True,True,26,0.14130434782608695
2010-07-01,6,2011-01-01,184,True,True,21,0.11413043478260869
2010-07-01,7,2011-02-01,184,True,True,27,0.14673913043478262
2010-07-01,8,2011-03-01,184,True,True,27,0.14673913043478262
2010-07-01,9,2011-04-01,184,True,True,21,0.11413043478260869
2010-07-01,10,2011-05-01,184,True,True,25,0.1358695652173913
2010-07-01,11,2011-06-01,184,True,True,27,0.14673913043478262
2010-07-01,12,2011-07-01,184,True,True,24,0.13043478260869565
2010-07-01,13,2011-08-01,184,True,True,25,0.1358695652173913
2010-07-01,14,2011-09-01,184,True,True,36,0.1956521739130435
2010-07-01,15,2011-10-01,184,True,True,32,0.17391304347826086
2010-07-01,16,2011-11-01,184,True,True,44,0.2391304347826087
2010-07-01,17,2011-12-01,184,True,False,,
2010-07-01,18,2012-01-01,184,True,False,,
2010-07-01,19,2012-02-01,184,True,False,,
2010-07-01,20,2012-03-01,184,True,False,,
2010-07-01,21,2012-04-01,184,True,False,,
2010-07-01,22,2012-05-01,184,True,False,,
2010-07-01,23,2012-06-01,184,True,False,,
2010-08-01,0,2010-08-01,162,True,True,162,1.0
2010-08-01,1,2010-09-01,162,True,True,31,0.19135802469135801
2010-08-01,2,2010-10-01,162,True,True,47,0.29012345679012347
2010-08-01,3,2010-11-01,162,True,True,53,0.3271604938271605
2010-08-01,4,2010-12-01,162,True,True,27,0.16666666666666666
2010-08-01,5,2011-01-01,162,True,True,19,0.11728395061728394
2010-08-01,6,2011-02-01,162,True,True,16,0.09876543209876543
2010-08-01,7,2011-03-01,162,True,True,21,0.12962962962962962
2010-08-01,8,2011-04-01,162,True,True,21,0.12962962962962962
2010-08-01,9,2011-05-01,162,True,True,20,0.12345679012345678
2010-08-01,10,2011-06-01,162,True,True,21,0.12962962962962962
2010-08-01,11,2011-07-01,162,True,True,19,0.11728395061728394
2010-08-01,12,2011-08-01,162,True,True,24,0.14814814814814814
2010-08-01,13,2011-09-01,162,True,True,28,0.1728395061728395
2010-08-01,14,2011-10-01,162,True,True,27,0.16666666666666666
2010-08-01,15,2011-11-01,162,True,True,32,0.19753086419753085
2010-08-01,16,2011-12-01,162,True,False,,
2010-08-01,17,2012-01-01,162,True,False,,
2010-08-01,18,2012-02-01,162,True,False,,
2010-08-01,19,2012-03-01,162,True,False,,
2010-08-01,20,2012-04-01,162,True,False,,
2010-08-01,21,2012-05-01,162,True,False,,
2010-08-01,22,2012-06-01,162,True,False,,
2010-08-01,23,2012-07-01,162,True,False,,
2010-09-01,0,2010-09-01,239,True,True,239,1.0
2010-09-01,1,2010-10-01,239,True,True,55,0.2301255230125523
2010-09-01,2,2010-11-01,239,True,True,56,0.23430962343096234
2010-09-01,3,2010-12-01,239,True,True,31,0.1297071129707113
2010-09-01,4,2011-01-01,239,True,True,21,0.08786610878661087
2010-09-01,5,2011-02-01,239,True,True,24,0.100418410041841
2010-09-01,6,2011-03-01,239,True,True,32,0.13389121338912133
2010-09-01,7,2011-04-01,239,True,True,24,0.100418410041841
2010-09-01,8,2011-05-01,239,True,True,32,0.13389121338912133
2010-09-01,9,2011-06-01,239,True,True,31,0.1297071129707113
2010-09-01,10,2011-07-01,239,True,True,29,0.12133891213389121
2010-09-01,11,2011-08-01,239,True,True,23,0.09623430962343096
2010-09-01,12,2011-09-01,239,True,True,54,0.22594142259414227
2010-09-01,13,2011-10-01,239,True,True,40,0.16736401673640167
2010-09-01,14,2011-11-01,239,True,True,40,0.16736401673640167
2010-09-01,15,2011-12-01,239,True,False,,
2010-09-01,16,2012-01-01,239,True,False,,
2010-09-01,17,2012-02-01,239,True,False,,
2010-09-01,18,2012-03-01,239,True,False,,
2010-09-01,19,2012-04-01,239,True,False,,
2010-09-01,20,2012-05-01,239,True,False,,
2010-09-01,21,2012-06-01,239,True,False,,
2010-09-01,22,2012-07-01,239,True,False,,
2010-09-01,23,2012-08-01,239,True,False,,
2010-10-01,0,2010-10-01,376,True,True,376,1.0
2010-10-01,1,2010-11-01,376,True,True,97,0.2579787234042553
2010-10-01,2,2010-12-01,376,True,True,55,0.14627659574468085
2010-10-01,3,2011-01-01,376,True,True,47,0.125
2010-10-01,4,2011-02-01,376,True,True,33,0.08776595744680851
2010-10-01,5,2011-03-01,376,True,True,31,0.08244680851063829
2010-10-01,6,2011-04-01,376,True,True,49,0.13031914893617022
2010-10-01,7,2011-05-01,376,True,True,52,0.13829787234042554
2010-10-01,8,2011-06-01,376,True,True,40,0.10638297872340426
2010-10-01,9,2011-07-01,376,True,True,35,0.09308510638297872
2010-10-01,10,2011-08-01,376,True,True,40,0.10638297872340426
2010-10-01,11,2011-09-01,376,True,True,48,0.1276595744680851
2010-10-01,12,2011-10-01,376,True,True,72,0.19148936170212766
2010-10-01,13,2011-11-01,376,True,True,87,0.23138297872340424
2010-10-01,14,2011-12-01,376,True,False,,
2010-10-01,15,2012-01-01,376,True,False,,
2010-10-01,16,2012-02-01,376,True,False,,
2010-10-01,17,2012-03-01,376,True,False,,
2010-10-01,18,2012-04-01,376,True,False,,
2010-10-01,19,2012-05-01,376,True,False,,
2010-10-01,20,2012-06-01,376,True,False,,
2010-10-01,21,2012-07-01,376,True,False,,
2010-10-01,22,2012-08-01,376,True,False,,
2010-10-01,23,2012-09-01,376,True,False,,
2010-11-01,0,2010-11-01,324,True,True,324,1.0
2010-11-01,1,2010-12-01,324,True,True,57,0.17592592592592593
2010-11-01,2,2011-01-01,324,True,True,31,0.09567901234567901
2010-11-01,3,2011-02-01,324,True,True,31,0.09567901234567901
2010-11-01,4,2011-03-01,324,True,True,25,0.07716049382716049
2010-11-01,5,2011-04-01,324,True,True,29,0.08950617283950617
2010-11-01,6,2011-05-01,324,True,True,42,0.12962962962962962
2010-11-01,7,2011-06-01,324,True,True,33,0.10185185185185185
2010-11-01,8,2011-07-01,324,True,True,28,0.08641975308641975
2010-11-01,9,2011-08-01,324,True,True,30,0.09259259259259259
2010-11-01,10,2011-09-01,324,True,True,36,0.1111111111111111
2010-11-01,11,2011-10-01,324,True,True,48,0.14814814814814814
2010-11-01,12,2011-11-01,324,True,True,81,0.25
2010-11-01,13,2011-12-01,324,True,False,,
2010-11-01,14,2012-01-01,324,True,False,,
2010-11-01,15,2012-02-01,324,True,False,,
2010-11-01,16,2012-03-01,324,True,False,,
2010-11-01,17,2012-04-01,324,True,False,,
2010-11-01,18,2012-05-01,324,True,False,,
2010-11-01,19,2012-06-01,324,True,False,,
2010-11-01,20,2012-07-01,324,True,False,,
2010-11-01,21,2012-08-01,324,True,False,,
2010-11-01,22,2012-09-01,324,True,False,,
2010-11-01,23,2012-10-01,324,True,False,,
2010-12-01,0,2010-12-01,76,True,True,76,1.0
2010-12-01,1,2011-01-01,76,True,True,7,0.09210526315789473
2010-12-01,2,2011-02-01,76,True,True,4,0.05263157894736842
2010-12-01,3,2011-03-01,76,True,True,7,0.09210526315789473
2010-12-01,4,2011-04-01,76,True,True,9,0.11842105263157894
2010-12-01,5,2011-05-01,76,True,True,5,0.06578947368421052
2010-12-01,6,2011-06-01,76,True,True,4,0.05263157894736842
2010-12-01,7,2011-07-01,76,True,True,7,0.09210526315789473
2010-12-01,8,2011-08-01,76,True,True,4,0.05263157894736842
2010-12-01,9,2011-09-01,76,True,True,2,0.02631578947368421
2010-12-01,10,2011-10-01,76,True,True,7,0.09210526315789473
2010-12-01,11,2011-11-01,76,True,True,15,0.19736842105263158
2010-12-01,12,2011-12-01,76,True,False,,
2010-12-01,13,2012-01-01,76,True,False,,
2010-12-01,14,2012-02-01,76,True,False,,
2010-12-01,15,2012-03-01,76,True,False,,
2010-12-01,16,2012-04-01,76,True,False,,
2010-12-01,17,2012-05-01,76,True,False,,
2010-12-01,18,2012-06-01,76,True,False,,
2010-12-01,19,2012-07-01,76,True,False,,
2010-12-01,20,2012-08-01,76,True,False,,
2010-12-01,21,2012-09-01,76,True,False,,
2010-12-01,22,2012-10-01,76,True,False,,
2010-12-01,23,2012-11-01,76,True,False,,
2011-01-01,0,2011-01-01,72,True,True,72,1.0
2011-01-01,1,2011-02-01,72,True,True,12,0.16666666666666666
2011-01-01,2,2011-03-01,72,True,True,16,0.2222222222222222
2011-01-01,3,2011-04-01,72,True,True,14,0.19444444444444445
2011-01-01,4,2011-05-01,72,True,True,16,0.2222222222222222
2011-01-01,5,2011-06-01,72,True,True,11,0.1527777777777778
2011-01-01,6,2011-07-01,72,True,True,11,0.1527777777777778
2011-01-01,7,2011-08-01,72,True,True,9,0.125
2011-01-01,8,2011-09-01,72,True,True,8,0.1111111111111111
2011-01-01,9,2011-10-01,72,True,True,15,0.20833333333333334
2011-01-01,10,2011-11-01,72,True,True,18,0.25
2011-01-01,11,2011-12-01,72,True,False,,
2011-01-01,12,2012-01-01,72,True,False,,
2011-01-01,13,2012-02-01,72,True,False,,
2011-01-01,14,2012-03-01,72,True,False,,
2011-01-01,15,2012-04-01,72,True,False,,
2011-01-01,16,2012-05-01,72,True,False,,
2011-01-01,17,2012-06-01,72,True,False,,
2011-01-01,18,2012-07-01,72,True,False,,
2011-01-01,19,2012-08-01,72,True,False,,
2011-01-01,20,2012-09-01,72,True,False,,
2011-01-01,21,2012-10-01,72,True,False,,
2011-01-01,22,2012-11-01,72,True,False,,
2011-01-01,23,2012-12-01,72,True,False,,
2011-02-01,0,2011-02-01,124,True,True,124,1.0
2011-02-01,1,2011-03-01,124,True,True,19,0.1532258064516129
2011-02-01,2,2011-04-01,124,True,True,19,0.1532258064516129
2011-02-01,3,2011-05-01,124,True,True,23,0.18548387096774194
2011-02-01,4,2011-06-01,124,True,True,27,0.21774193548387097
2011-02-01,5,2011-07-01,124,True,True,20,0.16129032258064516
2011-02-01,6,2011-08-01,124,True,True,20,0.16129032258064516
2011-02-01,7,2011-09-01,124,True,True,19,0.1532258064516129
2011-02-01,8,2011-10-01,124,True,True,19,0.1532258064516129
2011-02-01,9,2011-11-01,124,True,True,23,0.18548387096774194
2011-02-01,10,2011-12-01,124,True,False,,
2011-02-01,11,2012-01-01,124,True,False,,
2011-02-01,12,2012-02-01,124,True,False,,
2011-02-01,13,2012-03-01,124,True,False,,
2011-02-01,14,2012-04-01,124,True,False,,
2011-02-01,15,2012-05-01,124,True,False,,
2011-02-01,16,2012-06-01,124,True,False,,
2011-02-01,17,2012-07-01,124,True,False,,
2011-02-01,18,2012-08-01,124,True,False,,
2011-02-01,19,2012-09-01,124,True,False,,
2011-02-01,20,2012-10-01,124,True,False,,
2011-02-01,21,2012-11-01,124,True,False,,
2011-02-01,22,2012-12-01,124,True,False,,
2011-02-01,23,2013-01-01,124,True,False,,
2011-03-01,0,2011-03-01,180,True,True,180,1.0
2011-03-01,1,2011-04-01,180,True,True,33,0.18333333333333332
2011-03-01,2,2011-05-01,180,True,True,39,0.21666666666666667
2011-03-01,3,2011-06-01,180,True,True,35,0.19444444444444445
2011-03-01,4,2011-07-01,180,True,True,40,0.2222222222222222
2011-03-01,5,2011-08-01,180,True,True,28,0.15555555555555556
2011-03-01,6,2011-09-01,180,True,True,37,0.20555555555555555
2011-03-01,7,2011-10-01,180,True,True,36,0.2
2011-03-01,8,2011-11-01,180,True,True,43,0.2388888888888889
2011-03-01,9,2011-12-01,180,True,False,,
2011-03-01,10,2012-01-01,180,True,False,,
2011-03-01,11,2012-02-01,180,True,False,,
2011-03-01,12,2012-03-01,180,True,False,,
2011-03-01,13,2012-04-01,180,True,False,,
2011-03-01,14,2012-05-01,180,True,False,,
2011-03-01,15,2012-06-01,180,True,False,,
2011-03-01,16,2012-07-01,180,True,False,,
2011-03-01,17,2012-08-01,180,True,False,,
2011-03-01,18,2012-09-01,180,True,False,,
2011-03-01,19,2012-10-01,180,True,False,,
2011-03-01,20,2012-11-01,180,True,False,,
2011-03-01,21,2012-12-01,180,True,False,,
2011-03-01,22,2013-01-01,180,True,False,,
2011-03-01,23,2013-02-01,180,True,False,,
2011-04-01,0,2011-04-01,106,True,True,106,1.0
2011-04-01,1,2011-05-01,106,True,True,26,0.24528301886792453
2011-04-01,2,2011-06-01,106,True,True,21,0.19811320754716982
2011-04-01,3,2011-07-01,106,True,True,21,0.19811320754716982
2011-04-01,4,2011-08-01,106,True,True,19,0.1792452830188679
2011-04-01,5,2011-09-01,106,True,True,25,0.2358490566037736
2011-04-01,6,2011-10-01,106,True,True,19,0.1792452830188679
2011-04-01,7,2011-11-01,106,True,True,27,0.25471698113207547
2011-04-01,8,2011-12-01,106,True,False,,
2011-04-01,9,2012-01-01,106,True,False,,
2011-04-01,10,2012-02-01,106,True,False,,
2011-04-01,11,2012-03-01,106,True,False,,
2011-04-01,12,2012-04-01,106,True,False,,
2011-04-01,13,2012-05-01,106,True,False,,
2011-04-01,14,2012-06-01,106,True,False,,
2011-04-01,15,2012-07-01,106,True,False,,
2011-04-01,16,2012-08-01,106,True,False,,
2011-04-01,17,2012-09-01,106,True,False,,
2011-04-01,18,2012-10-01,106,True,False,,
2011-04-01,19,2012-11-01,106,True,False,,
2011-04-01,20,2012-12-01,106,True,False,,
2011-04-01,21,2013-01-01,106,True,False,,
2011-04-01,22,2013-02-01,106,True,False,,
2011-04-01,23,2013-03-01,106,True,False,,
2011-05-01,0,2011-05-01,111,True,True,111,1.0
2011-05-01,1,2011-06-01,111,True,True,26,0.23423423423423423
2011-05-01,2,2011-07-01,111,True,True,27,0.24324324324324326
2011-05-01,3,2011-08-01,111,True,True,18,0.16216216216216217
2011-05-01,4,2011-09-01,111,True,True,24,0.21621621621621623
2011-05-01,5,2011-10-01,111,True,True,23,0.2072072072072072
2011-05-01,6,2011-11-01,111,True,True,29,0.26126126126126126
2011-05-01,7,2011-12-01,111,True,False,,
2011-05-01,8,2012-01-01,111,True,False,,
2011-05-01,9,2012-02-01,111,True,False,,
2011-05-01,10,2012-03-01,111,True,False,,
2011-05-01,11,2012-04-01,111,True,False,,
2011-05-01,12,2012-05-01,111,True,False,,
2011-05-01,13,2012-06-01,111,True,False,,
2011-05-01,14,2012-07-01,111,True,False,,
2011-05-01,15,2012-08-01,111,True,False,,
2011-05-01,16,2012-09-01,111,True,False,,
2011-05-01,17,2012-10-01,111,True,False,,
2011-05-01,18,2012-11-01,111,True,False,,
2011-05-01,19,2012-12-01,111,True,False,,
2011-05-01,20,2013-01-01,111,True,False,,
2011-05-01,21,2013-02-01,111,True,False,,
2011-05-01,22,2013-03-01,111,True,False,,
2011-05-01,23,2013-04-01,111,True,False,,
2011-06-01,0,2011-06-01,108,True,True,108,1.0
2011-06-01,1,2011-07-01,108,True,True,25,0.23148148148148148
2011-06-01,2,2011-08-01,108,True,True,23,0.21296296296296297
2011-06-01,3,2011-09-01,108,True,True,29,0.26851851851851855
2011-06-01,4,2011-10-01,108,True,True,22,0.2037037037037037
2011-06-01,5,2011-11-01,108,True,True,30,0.2777777777777778
2011-06-01,6,2011-12-01,108,True,False,,
2011-06-01,7,2012-01-01,108,True,False,,
2011-06-01,8,2012-02-01,108,True,False,,
2011-06-01,9,2012-03-01,108,True,False,,
2011-06-01,10,2012-04-01,108,True,False,,
2011-06-01,11,2012-05-01,108,True,False,,
2011-06-01,12,2012-06-01,108,True,False,,
2011-06-01,13,2012-07-01,108,True,False,,
2011-06-01,14,2012-08-01,108,True,False,,
2011-06-01,15,2012-09-01,108,True,False,,
2011-06-01,16,2012-10-01,108,True,False,,
2011-06-01,17,2012-11-01,108,True,False,,
2011-06-01,18,2012-12-01,108,True,False,,
2011-06-01,19,2013-01-01,108,True,False,,
2011-06-01,20,2013-02-01,108,True,False,,
2011-06-01,21,2013-03-01,108,True,False,,
2011-06-01,22,2013-04-01,108,True,False,,
2011-06-01,23,2013-05-01,108,True,False,,
2011-07-01,0,2011-07-01,101,True,True,101,1.0
2011-07-01,1,2011-08-01,101,True,True,21,0.2079207920792079
2011-07-01,2,2011-09-01,101,True,True,30,0.297029702970297
2011-07-01,3,2011-10-01,101,True,True,28,0.27722772277227725
2011-07-01,4,2011-11-01,101,True,True,35,0.3465346534653465
2011-07-01,5,2011-12-01,101,True,False,,
2011-07-01,6,2012-01-01,101,True,False,,
2011-07-01,7,2012-02-01,101,True,False,,
2011-07-01,8,2012-03-01,101,True,False,,
2011-07-01,9,2012-04-01,101,True,False,,
2011-07-01,10,2012-05-01,101,True,False,,
2011-07-01,11,2012-06-01,101,True,False,,
2011-07-01,12,2012-07-01,101,True,False,,
2011-07-01,13,2012-08-01,101,True,False,,
2011-07-01,14,2012-09-01,101,True,False,,
2011-07-01,15,2012-10-01,101,True,False,,
2011-07-01,16,2012-11-01,101,True,False,,
2011-07-01,17,2012-12-01,101,True,False,,
2011-07-01,18,2013-01-01,101,True,False,,
2011-07-01,19,2013-02-01,101,True,False,,
2011-07-01,20,2013-03-01,101,True,False,,
