feature,group,cohort_month,eligible_customers,repeat_customers,repeat_rate_90d
first_order_product_band,2-5 products,2010-11-01,29,10,0.3448275862068966
first_order_product_band,2-5 products,2010-12-01,10,3,
first_order_product_band,2-5 products,2011-01-01,9,4,
first_order_product_band,2-5 products,2011-02-01,14,6,
first_order_product_band,2-5 products,2011-03-01,23,8,0.34782608695652173
first_order_product_band,2-5 products,2011-04-01,9,2,
first_order_product_band,2-5 products,2011-05-01,11,4,
first_order_product_band,2-5 products,2011-06-01,15,7,
first_order_product_band,2-5 products,2011-07-01,5,2,
first_order_product_band,2-5 products,2011-08-01,11,5,
first_order_product_band,2-5 products,2011-09-01,0,0,
first_order_product_band,6+ products,2010-03-01,389,175,0.4498714652956298
first_order_product_band,6+ products,2010-04-01,250,103,0.412
first_order_product_band,6+ products,2010-05-01,223,89,0.3991031390134529
first_order_product_band,6+ products,2010-06-01,232,88,0.3793103448275862
first_order_product_band,6+ products,2010-07-01,146,71,0.4863013698630137
first_order_product_band,6+ products,2010-08-01,145,79,0.5448275862068965
first_order_product_band,6+ products,2010-09-01,209,94,0.44976076555023925
first_order_product_band,6+ products,2010-10-01,336,139,0.41369047619047616
first_order_product_band,6+ products,2010-11-01,287,102,0.3554006968641115
first_order_product_band,6+ products,2010-12-01,61,9,0.14754098360655737
first_order_product_band,6+ products,2011-01-01,57,25,0.43859649122807015
first_order_product_band,6+ products,2011-02-01,103,33,0.32038834951456313
first_order_product_band,6+ products,2011-03-01,151,67,0.44370860927152317
first_order_product_band,6+ products,2011-04-01,92,38,0.41304347826086957
first_order_product_band,6+ products,2011-05-01,95,44,0.4631578947368421
first_order_product_band,6+ products,2011-06-01,90,46,0.5111111111111111
first_order_product_band,6+ products,2011-07-01,92,52,0.5652173913043478
first_order_product_band,6+ products,2011-08-01,91,49,0.5384615384615384
first_order_product_band,6+ products,2011-09-01,1,0,
first_order_geography,United Kingdom,2010-03-01,411,182,0.44282238442822386
first_order_geography,United Kingdom,2010-04-01,268,111,0.4141791044776119
first_order_geography,United Kingdom,2010-05-01,234,85,0.36324786324786323
first_order_geography,United Kingdom,2010-06-01,242,93,0.384297520661157
first_order_geography,United Kingdom,2010-07-01,162,69,0.42592592592592593
first_order_geography,United Kingdom,2010-08-01,148,76,0.5135135135135135
first_order_geography,United Kingdom,2010-09-01,216,99,0.4583333333333333
first_order_geography,United Kingdom,2010-10-01,338,133,0.39349112426035504
first_order_geography,United Kingdom,2010-11-01,304,105,0.34539473684210525
first_order_geography,United Kingdom,2010-12-01,64,9,0.140625
first_order_geography,United Kingdom,2011-01-01,63,26,0.4126984126984127
first_order_geography,United Kingdom,2011-02-01,109,34,0.3119266055045872
first_order_geography,United Kingdom,2011-03-01,164,70,0.4268292682926829
first_order_geography,United Kingdom,2011-04-01,93,35,0.3763440860215054
first_order_geography,United Kingdom,2011-05-01,97,39,0.4020618556701031
first_order_geography,United Kingdom,2011-06-01,94,44,0.46808510638297873
first_order_geography,United Kingdom,2011-07-01,89,53,0.5955056179775281
first_order_geography,United Kingdom,2011-08-01,87,45,0.5172413793103449
first_order_geography,United Kingdom,2011-09-01,2,1,
first_order_geography,Other known country,2010-03-01,30,11,0.36666666666666664
first_order_geography,Other known country,2010-04-01,25,5,0.2
first_order_geography,Other known country,2010-05-01,21,9,0.42857142857142855
first_order_geography,Other known country,2010-06-01,24,10,0.4166666666666667
first_order_geography,Other known country,2010-07-01,22,12,0.5454545454545454
first_order_geography,Other known country,2010-08-01,14,8,
first_order_geography,Other known country,2010-09-01,23,9,0.391304347826087
first_order_geography,Other known country,2010-10-01,38,18,0.47368421052631576
first_order_geography,Other known country,2010-11-01,19,7,
first_order_geography,Other known country,2010-12-01,12,3,
first_order_geography,Other known country,2011-01-01,9,4,
first_order_geography,Other known country,2011-02-01,15,5,
first_order_geography,Other known country,2011-03-01,16,6,
first_order_geography,Other known country,2011-04-01,12,5,
first_order_geography,Other known country,2011-05-01,14,9,
first_order_geography,Other known country,2011-06-01,14,10,
first_order_geography,Other known country,2011-07-01,11,2,
first_order_geography,Other known country,2011-08-01,20,9,0.45
first_order_geography,Other known country,2011-09-01,1,0,
first_order_geography,Unknown,2010-03-01,0,0,
first_order_geography,Unknown,2010-04-01,1,0,
first_order_geography,Unknown,2010-05-01,0,0,
first_order_geography,Unknown,2010-06-01,0,0,
first_order_geography,Unknown,2010-07-01,0,0,
first_order_geography,Unknown,2010-08-01,0,0,
first_order_geography,Unknown,2010-09-01,0,0,
first_order_geography,Unknown,2010-10-01,0,0,
first_order_geography,Unknown,2010-11-01,1,0,
first_order_geography,Unknown,2010-12-01,0,0,
first_order_geography,Unknown,2011-01-01,0,0,
first_order_geography,Unknown,2011-02-01,0,0,
first_order_geography,Unknown,2011-03-01,0,0,
first_order_geography,Unknown,2011-04-01,1,0,
first_order_geography,Unknown,2011-05-01,0,0,
first_order_geography,Unknown,2011-06-01,0,0,
first_order_geography,Unknown,2011-07-01,1,1,
first_order_geography,Unknown,2011-08-01,0,0,
first_order_geography,Unknown,2011-09-01,0,0,
